sample_id,task_id,task_name,language,prompt_level,llm,repetition,loc,avg_cc,max_cc,mi,lint_errors,code_smells,total_issues
S0001,T01,CRUD REST API,python,P0,gpt-4o,1,60,4.71,13,48.17,2,20,22
S0002,T01,CRUD REST API,python,P0,gpt-4o,2,60,4.71,13,45.08,2,20,22
S0003,T01,CRUD REST API,python,P0,gpt-4o,3,60,4.71,13,48.17,2,20,22
S0004,T01,CRUD REST API,python,P0,gpt-4o,4,60,4.71,13,48.17,2,20,22
S0005,T01,CRUD REST API,python,P0,gpt-4o,5,60,4.71,13,45.08,2,20,22
S0006,T01,CRUD REST API,python,P0,claude-3.5-sonnet,1,60,4.71,13,45.08,2,20,22
S0007,T01,CRUD REST API,python,P0,claude-3.5-sonnet,2,60,4.71,13,45.08,2,20,22
S0008,T01,CRUD REST API,python,P0,claude-3.5-sonnet,3,60,4.71,13,45.08,2,20,22
S0009,T01,CRUD REST API,python,P0,claude-3.5-sonnet,4,60,4.71,13,45.08,2,20,22
S0010,T01,CRUD REST API,python,P0,claude-3.5-sonnet,5,60,4.71,13,45.08,2,20,22
S0011,T01,CRUD REST API,python,P1,gpt-4o,1,94,3.37,14,41.02,0,32,32
S0012,T01,CRUD REST API,python,P1,gpt-4o,2,94,3.37,14,38.46,0,32,32
S0013,T01,CRUD REST API,python,P1,gpt-4o,3,94,3.37,14,41.02,0,32,32
S0014,T01,CRUD REST API,python,P1,gpt-4o,4,94,3.37,14,41.02,0,32,32
S0015,T01,CRUD REST API,python,P1,gpt-4o,5,94,3.37,14,38.46,0,32,32
S0016,T01,CRUD REST API,python,P1,claude-3.5-sonnet,1,94,3.37,14,38.46,0,32,32
S0017,T01,CRUD REST API,python,P1,claude-3.5-sonnet,2,94,3.37,14,38.46,0,32,32
S0018,T01,CRUD REST API,python,P1,claude-3.5-sonnet,3,94,3.37,14,38.46,0,32,32
S0019,T01,CRUD REST API,python,P1,claude-3.5-sonnet,4,94,3.37,14,38.46,0,32,32
