sample_id,task_id,task_name,language,prompt_level,llm,repetition,loc,avg_cc,mi,code_smells,acs
S0001,T01,CRUD REST API,python,P0,gpt-4o,1,60,4.71,48.17,20,0.0
S0002,T01,CRUD REST API,python,P0,gpt-4o,2,60,4.71,45.08,20,0.5
S0003,T01,CRUD REST API,python,P0,gpt-4o,3,60,4.71,48.17,20,0.5
S0004,T01,CRUD REST API,python,P0,gpt-4o,4,60,4.71,48.17,20,0.5
S0005,T01,CRUD REST API,python,P0,gpt-4o,5,60,4.71,45.08,20,0.0
S0006,T01,CRUD REST API,python,P0,claude-3.5-sonnet,1,60,4.71,45.08,20,1.0
S0007,T01,CRUD REST API,python,P0,claude-3.5-sonnet,2,60,4.71,45.08,20,1.0
S0008,T01,CRUD REST API,python,P0,claude-3.5-sonnet,3,60,4.71,45.08,20,1.0
S0009,T01,CRUD REST API,python,P0,claude-3.5-sonnet,4,60,4.71,45.08,20,0.0
S0010,T01,CRUD REST API,python,P0,claude-3.5-sonnet,5,60,4.71,45.08,20,1.0
S0011,T01,CRUD REST API,python,P1,gpt-4o,1,94,3.37,41.02,32,2.0
S0012,T01,CRUD REST API,python,P1,gpt-4o,2,94,3.37,38.46,32,2.0
S0013,T01,CRUD REST API,python,P1,gpt-4o,3,94,3.37,41.02,32,3.0
S0014,T01,CRUD REST API,python,P1,gpt-4o,4,94,3.37,41.02,32,2.5
S0015,T01,CRUD REST API,python,P1,gpt-4o,5,94,3.37,38.46,32,2.0
S0016,T01,CRUD REST API,python,P1,claude-3.5-sonnet,1,94,3.37,38.46,32,2.5
S0017,T01,CRUD REST API,python,P1,claude-3.5-sonnet,2,94,3.37,38.46,32,2.0
S0018,T01,CRUD REST API,python,P1,claude-3.5-sonnet,3,94,3.37,38.46,32,2.0
S0019,T01,CRUD REST API,python,P1,claude-3.5-sonnet,4,94,3.37,38.46,32,2.0
S0020,T01,CRUD REST API,python,P1,claude-3.5-sonnet,5,94,3.37,38.46,32,2.0
S0021,T01,CRUD REST API,python,P2,gpt-4o,1,155,2.36,34.29,47,8.0
S0022,T01,CRUD REST API,python,P2,gpt-4o,2,155,2.36,32.25,47,8.0
S0023,T01,CRUD REST API,python,P2,gpt-4o,3,155,2.36,34.29,47,8.0
S0024,T01,CRUD REST API,python,P2,gpt-4o,4,155,2.36,34.29,47,7.0
S0025,T01,CRUD REST API,python,P2,gpt-4o,5,155,2.36,32.25,47,8.0
S0026,T01,CRUD REST API,python,P2,claude-3.5-sonnet,1,155,2.36,32.25,47,9.0
S0027,T01,CRUD REST API,python,P2,claude-3.5-sonnet,2,155,2.36,32.25,47,7.0
S0028,T01,CRUD REST API,python,P2,claude-3.5-sonnet,3,155,2.36,32.25,47,8.0
S0029,T01,CRUD REST API,python,P2,claude-3.5-sonnet,4,155,2.36,32.25,47,8.0
S0030,T01,CRUD REST API,python,P2,claude-3.5-sonnet,5,155,2.36,32.25,47,8.0
S0031,T01,CRUD REST API,python,P3,gpt-4o,1,221,2.33,41.06,54,8.5
S0032,T01,CRUD REST API,python,P3,gpt-4o,2,221,2.33,40.75,54,9.0
S0033,T01,CRUD REST API,python,P3,gpt-4o,3,221,2.33,41.1,54,8.5
S0034,T01,CRUD REST API,python,P3,gpt-4o,4,221,2.33,41.06,54,9.0
S0035,T01,CRUD REST API,python,P3,gpt-4o,5,221,2.33,40.75,54,8.5
S0036,T01,CRUD REST API,python,P3,claude-3.5-sonnet,1,221,2.33,40.75,54,9.0
S0037,T01,CRUD REST API,python,P3,claude-3.5-sonnet,2,221,2.33,40.75,54,8.5
S0038,T01,CRUD REST API,python,P3,claude-3.5-sonnet,3,221,2.33,40.75,54,8.5
S0039,T01,CRUD REST API,python,P3,claude-3.5-sonnet,4,221,2.33,40.75,54,9.0
S0040,T01,CRUD REST API,python,P3,claude-3.5-sonnet,5,221,2.33,40.75,54,9.0
S0081,T02,Authentication system,python,P0,gpt-4o,1,36,2.67,63.54,12,0.0
S0082,T02,Authentication system,python,P0,gpt-4o,2,36,2.67,59.67,12,0.0
S0083,T02,Authentication system,python,P0,gpt-4o,3,36,2.67,63.54,12,0.5
S0084,T02,Authentication system,python,P0,gpt-4o,4,36,2.67,63.54,12,1.0
S0085,T02,Authentication system,python,P0,gpt-4o,5,36,2.67,59.67,12,0.0
S0086,T02,Authentication system,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,12,0.5
S0087,T02,Authentication system,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,12,1.0
S0088,T02,Authentication system,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,12,0.5
S0089,T02,Authentication system,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,12,1.0
S0090,T02,Authentication system,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,12,0.0
S0091,T02,Authentication system,python,P1,gpt-4o,1,60,2.0,55.6,27,2.0
S0092,T02,Authentication system,python,P1,gpt-4o,2,60,2.0,52.43,27,1.5
S0093,T02,Authentication system,python,P1,gpt-4o,3,60,2.0,55.6,27,1.0
S0094,T02,Authentication system,python,P1,gpt-4o,4,60,2.0,55.6,27,2.0
S0095,T02,Authentication system,python,P1,gpt-4o,5,60,2.0,52.43,27,2.0
S0096,T02,Authentication system,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,2.5
S0097,T02,Authentication system,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,1.5
S0098,T02,Authentication system,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,1.0
S0099,T02,Authentication system,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0100,T02,Authentication system,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,2.0
S0101,T02,Authentication system,python,P2,gpt-4o,1,116,1.0,50.0,0,5.0
S0102,T02,Authentication system,python,P2,gpt-4o,2,116,1.0,50.0,0,4.0
S0103,T02,Authentication system,python,P2,gpt-4o,3,116,1.0,50.0,0,5.0
S0104,T02,Authentication system,python,P2,gpt-4o,4,116,1.0,50.0,0,5.0
S0105,T02,Authentication system,python,P2,gpt-4o,5,116,1.0,50.0,0,5.0
S0106,T02,Authentication system,python,P2,claude-3.5-sonnet,1,116,1.0,50.0,0,6.0
S0107,T02,Authentication system,python,P2,claude-3.5-sonnet,2,116,1.0,50.0,0,4.0
S0108,T02,Authentication system,python,P2,claude-3.5-sonnet,3,116,1.0,50.0,0,4.5
S0109,T02,Authentication system,python,P2,claude-3.5-sonnet,4,116,1.0,50.0,0,5.0
S0110,T02,Authentication system,python,P2,claude-3.5-sonnet,5,116,1.0,50.0,0,4.0
S0111,T02,Authentication system,python,P3,gpt-4o,1,159,1.0,50.0,0,5.5
S0112,T02,Authentication system,python,P3,gpt-4o,2,159,1.0,50.0,0,6.0
S0113,T02,Authentication system,python,P3,gpt-4o,3,159,1.0,50.0,0,7.0
S0114,T02,Authentication system,python,P3,gpt-4o,4,159,1.0,50.0,0,6.0
S0115,T02,Authentication system,python,P3,gpt-4o,5,159,1.0,50.0,0,6.0
S0116,T02,Authentication system,python,P3,claude-3.5-sonnet,1,159,1.0,50.0,0,6.5
S0117,T02,Authentication system,python,P3,claude-3.5-sonnet,2,159,1.0,50.0,0,6.0
S0118,T02,Authentication system,python,P3,claude-3.5-sonnet,3,159,1.0,50.0,0,6.0
S0119,T02,Authentication system,python,P3,claude-3.5-sonnet,4,159,1.0,50.0,0,6.0
S0120,T02,Authentication system,python,P3,claude-3.5-sonnet,5,159,1.0,50.0,0,5.0
S0161,T03,File management system,python,P0,gpt-4o,1,36,2.67,63.54,12,0.0
S0162,T03,File management system,python,P0,gpt-4o,2,36,2.67,59.67,12,0.0
S0163,T03,File management system,python,P0,gpt-4o,3,36,2.67,63.54,12,0.5
S0164,T03,File management system,python,P0,gpt-4o,4,36,2.67,63.54,12,0.0
S0165,T03,File management system,python,P0,gpt-4o,5,36,2.67,59.67,12,0.5
S0166,T03,File management system,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,12,1.0
S0167,T03,File management system,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,12,1.0
S0168,T03,File management system,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,12,1.0
S0169,T03,File management system,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,12,1.0
S0170,T03,File management system,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,12,0.5
S0171,T03,File management system,python,P1,gpt-4o,1,60,2.0,55.6,27,2.5
S0172,T03,File management system,python,P1,gpt-4o,2,60,2.0,52.43,27,1.0
S0173,T03,File management system,python,P1,gpt-4o,3,60,2.0,55.6,27,1.0
S0174,T03,File management system,python,P1,gpt-4o,4,60,2.0,55.6,27,2.0
S0175,T03,File management system,python,P1,gpt-4o,5,60,2.0,52.43,27,1.5
S0176,T03,File management system,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,2.0
S0177,T03,File management system,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,1.5
S0178,T03,File management system,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,2.5
S0179,T03,File management system,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0180,T03,File management system,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,2.0
S0181,T03,File management system,python,P2,gpt-4o,1,117,1.0,50.0,0,5.0
S0182,T03,File management system,python,P2,gpt-4o,2,117,1.0,50.0,0,5.5
S0183,T03,File management system,python,P2,gpt-4o,3,117,1.0,50.0,0,6.0
S0184,T03,File management system,python,P2,gpt-4o,4,117,1.0,50.0,0,6.0
S0185,T03,File management system,python,P2,gpt-4o,5,117,1.0,50.0,0,5.0
S0186,T03,File management system,python,P2,claude-3.5-sonnet,1,117,1.0,50.0,0,4.0
S0187,T03,File management system,python,P2,claude-3.5-sonnet,2,117,1.0,50.0,0,5.0
S0188,T03,File management system,python,P2,claude-3.5-sonnet,3,117,1.0,50.0,0,4.0
S0189,T03,File management system,python,P2,claude-3.5-sonnet,4,117,1.0,50.0,0,5.0
S0190,T03,File management system,python,P2,claude-3.5-sonnet,5,117,1.0,50.0,0,5.0
S0191,T03,File management system,python,P3,gpt-4o,1,162,1.0,50.0,0,5.0
S0192,T03,File management system,python,P3,gpt-4o,2,162,1.0,50.0,0,5.5
S0193,T03,File management system,python,P3,gpt-4o,3,162,1.0,50.0,0,5.5
S0194,T03,File management system,python,P3,gpt-4o,4,162,1.0,50.0,0,6.0
S0195,T03,File management system,python,P3,gpt-4o,5,162,1.0,50.0,0,5.5
S0196,T03,File management system,python,P3,claude-3.5-sonnet,1,162,1.0,50.0,0,6.0
S0197,T03,File management system,python,P3,claude-3.5-sonnet,2,162,1.0,50.0,0,6.0
S0198,T03,File management system,python,P3,claude-3.5-sonnet,3,162,1.0,50.0,0,6.0
S0199,T03,File management system,python,P3,claude-3.5-sonnet,4,162,1.0,50.0,0,6.0
S0200,T03,File management system,python,P3,claude-3.5-sonnet,5,162,1.0,50.0,0,5.0
S0241,T04,Notification system,python,P0,gpt-4o,1,36,2.67,63.54,12,0.5
S0242,T04,Notification system,python,P0,gpt-4o,2,36,2.67,59.67,12,1.0
S0243,T04,Notification system,python,P0,gpt-4o,3,36,2.67,63.54,12,0.0
S0244,T04,Notification system,python,P0,gpt-4o,4,36,2.67,63.54,12,0.5
S0245,T04,Notification system,python,P0,gpt-4o,5,36,2.67,59.67,12,1.5
S0246,T04,Notification system,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,12,0.5
S0247,T04,Notification system,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,12,1.0
S0248,T04,Notification system,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,12,1.0
S0249,T04,Notification system,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,12,0.5
S0250,T04,Notification system,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,12,1.0
S0251,T04,Notification system,python,P1,gpt-4o,1,60,2.0,55.6,27,1.0
S0252,T04,Notification system,python,P1,gpt-4o,2,60,2.0,52.43,27,3.0
S0253,T04,Notification system,python,P1,gpt-4o,3,60,2.0,55.6,27,2.0
S0254,T04,Notification system,python,P1,gpt-4o,4,60,2.0,55.6,27,1.5
S0255,T04,Notification system,python,P1,gpt-4o,5,60,2.0,52.43,27,1.0
S0256,T04,Notification system,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,2.0
S0257,T04,Notification system,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,1.5
